,ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,APPROVAL_STATUS,AGE,EMPLOYEE_FROM_YEARS
56,5008868,1,1,0,1,211500.0,State servant,Secondary ,Civil marriage,House ,0,0,0,3.0,0.0,44,19
57,5008870,1,1,0,1,211500.0,State servant,Secondary ,Civil marriage,House ,0,0,0,3.0,0.0,44,19
58,5008872,0,0,0,0,360000.0,Commercial associate,Secondary ,Married,House ,0,1,0,2.0,0.0,45,14
59,5008873,1,1,0,2,126000.0,Commercial associate,Higher education,Married,House ,0,0,1,4.0,0.0,34,4
60,5008874,1,1,0,2,126000.0,Commercial associate,Higher education,Married,House ,0,0,1,4.0,0.0,34,4
61,5008875,1,1,0,2,126000.0,Commercial associate,Higher education,Married,House ,0,0,1,4.0,0.0,34,4
62,5008876,1,1,0,2,126000.0,Commercial associate,Higher education,Married,House ,0,0,1,4.0,0.0,34,4
63,5008877,1,1,0,2,126000.0,Commercial associate,Higher education,Married,House ,0,0,1,4.0,0.0,34,4
64,5008878,1,1,0,2,126000.0,Commercial associate,Higher education,Married,House ,0,0,1,4.0,0.0,34,4
65,5008879,1,1,0,2,126000.0,Commercial associate,Higher education,Married,House ,0,0,1,4.0,0.0,34,4
66,5008880,1,1,0,2,126000.0,Commercial associate,Higher education,Married,House ,0,0,1,4.0,0.0,34,4
67,5008881,1,1,0,2,126000.0,Commercial associate,Higher education,Married,House ,0,0,1,4.0,0.0,34,4
68,5008882,1,1,0,2,126000.0,Commercial associate,Higher education,Married,House ,0,0,1,4.0,0.0,34,4
69,5008884,1,1,0,0,315000.0,Pensioner,Secondary ,Widow,House ,0,0,0,1.0,0.0,55,-1001
70,5008888,1,1,0,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,0,0,0,1.0,0.0,46,3
71,5008889,1,1,0,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,0,0,0,1.0,0.0,46,3
72,5008890,1,1,0,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,0,0,0,1.0,0.0,46,3
73,5112847,1,1,0,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,0,0,0,1.0,0.0,46,3
74,5008891,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
75,5008892,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
76,5008893,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
77,5008894,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
78,5008895,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
79,5008896,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
80,5008897,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
81,5008898,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
82,5008899,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
83,5008900,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
84,5008901,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
85,5008902,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
86,5008903,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
87,5008904,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
88,5008905,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
89,5008906,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
90,5008907,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
91,5008908,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
92,5008909,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
93,5008910,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
94,5008911,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
95,5008912,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
96,5008913,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
97,5008914,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
98,5008915,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
99,5008916,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
100,5008917,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
101,5008918,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
102,5008919,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
103,5008920,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
104,5008921,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
105,5008922,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
106,5008923,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
107,5008924,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
108,5008925,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
109,5008926,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
110,5008927,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
111,5008928,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
112,5008929,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
113,5008930,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
114,5008931,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
115,5008932,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
116,5008933,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
117,5008934,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
118,5008935,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
119,5008936,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
120,5008937,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
121,5008938,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
122,5008939,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
123,5008940,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
124,5008941,1,1,0,0,297000.0,Commercial associate,Secondary ,Single ,Rented apartment,0,0,0,1.0,0.0,42,8
125,5008942,1,1,1,0,157500.0,Commercial associate,Higher education,Married,House ,0,1,0,2.0,0.0,37,13
126,5008943,1,1,1,0,157500.0,Commercial associate,Higher education,Married,House ,0,1,0,2.0,0.0,37,13
127,5008944,1,1,1,0,157500.0,Commercial associate,Higher education,Married,House ,0,1,0,2.0,0.0,37,13
128,5008945,1,1,1,0,157500.0,Commercial associate,Higher education,Married,House ,0,1,0,2.0,0.0,37,13
129,5008946,1,1,1,0,157500.0,Commercial associate,Higher education,Married,House ,0,1,0,2.0,0.0,37,13
130,5008947,0,1,0,0,135000.0,Working,Secondary ,Married,House ,1,1,0,2.0,0.0,42,3
131,5008948,0,1,0,0,135000.0,Working,Secondary ,Married,House ,1,1,0,2.0,0.0,42,3
132,5008949,0,1,0,0,135000.0,Working,Secondary ,Married,House ,1,1,0,2.0,0.0,42,3
133,5008950,0,1,0,0,135000.0,Working,Secondary ,Married,House ,1,1,0,2.0,0.0,42,3
134,5008951,0,1,0,1,225000.0,Working,Secondary ,Married,House ,0,0,0,3.0,0.0,28,7
135,5008952,0,1,0,1,225000.0,Working,Secondary ,Married,House ,0,0,0,3.0,0.0,28,7
136,5008953,0,1,0,1,225000.0,Working,Secondary ,Married,House ,0,0,0,3.0,0.0,28,7
137,5008954,0,1,0,1,225000.0,Working,Secondary ,Married,House ,0,0,0,3.0,0.0,28,7
138,5008955,1,0,0,0,135000.0,Working,Secondary ,Married,House ,0,0,0,2.0,0.0,48,4
139,5008956,1,0,0,0,135000.0,Working,Secondary ,Married,House ,0,0,0,2.0,0.0,48,4
140,5008957,1,0,0,0,135000.0,Working,Secondary ,Married,House ,0,0,0,2.0,0.0,48,4
141,5008958,1,0,0,0,135000.0,Working,Secondary ,Married,House ,0,0,0,2.0,0.0,48,4
142,5008959,1,0,0,0,135000.0,Working,Secondary ,Married,House ,0,0,0,2.0,0.0,48,4
143,5008960,1,0,0,0,135000.0,Working,Secondary ,Married,House ,0,0,0,2.0,0.0,48,4
144,5008962,1,0,0,0,135000.0,Working,Secondary ,Married,House ,0,0,0,2.0,0.0,48,4
145,5008963,1,0,0,0,135000.0,Working,Secondary ,Married,House ,0,0,0,2.0,0.0,48,4
146,5008966,0,1,0,0,157500.0,Working,Secondary ,Married,House ,0,1,0,2.0,0.0,43,2
147,5008967,0,1,0,0,157500.0,Working,Secondary ,Married,House ,0,1,0,2.0,0.0,43,2
148,5008971,0,1,0,0,157500.0,Working,Secondary ,Married,House ,0,1,0,2.0,0.0,43,2
149,5008973,0,1,0,0,157500.0,Working,Secondary ,Married,House ,0,1,0,2.0,0.0,43,2
150,5008974,1,1,0,0,112500.0,Pensioner,Secondary ,Married,House ,0,0,0,2.0,0.0,61,-1001
151,5008975,1,1,0,0,112500.0,Pensioner,Secondary ,Married,House ,0,0,0,2.0,0.0,61,-1001
152,5008976,1,1,0,0,112500.0,Pensioner,Secondary ,Married,House ,0,0,0,2.0,0.0,61,-1001
153,5008977,1,1,0,0,112500.0,Pensioner,Secondary ,Married,House ,0,0,0,2.0,0.0,61,-1001
154,5008978,1,1,0,0,112500.0,Pensioner,Secondary ,Married,House ,0,0,0,2.0,0.0,61,-1001
155,5008979,1,1,0,0,112500.0,Pensioner,Secondary ,Married,House ,0,0,0,2.0,0.0,61,-1001
156,5008980,1,1,0,0,112500.0,Pensioner,Secondary ,Married,House ,0,0,0,2.0,0.0,61,-1001
157,5008981,0,0,0,0,112500.0,State servant,Secondary ,Married,House ,0,1,0,2.0,0.0,57,6
158,5008983,0,0,0,0,112500.0,State servant,Secondary ,Married,House ,0,1,0,2.0,0.0,57,6
159,5008984,0,0,0,0,112500.0,State servant,Secondary ,Married,House ,0,1,0,2.0,0.0,57,6
160,5008986,0,0,0,0,112500.0,State servant,Secondary ,Married,House ,0,1,0,2.0,0.0,57,6
161,5008987,0,0,0,0,112500.0,State servant,Secondary ,Married,House ,0,1,0,2.0,0.0,57,6
162,5008988,0,0,0,0,112500.0,State servant,Secondary ,Married,House ,0,1,0,2.0,0.0,57,6
163,5008991,1,0,0,0,270000.0,Working,Secondary ,Separated,House ,1,1,0,1.0,0.0,45,3
164,5008992,1,0,0,0,270000.0,Working,Secondary ,Separated,House ,1,1,0,1.0,0.0,45,3
165,5008993,1,0,0,0,270000.0,Working,Secondary ,Separated,House ,1,1,0,1.0,0.0,45,3
166,5008994,1,0,0,0,270000.0,Working,Secondary ,Separated,House ,1,1,0,1.0,0.0,45,3
167,5008995,1,0,0,0,270000.0,Working,Secondary ,Separated,House ,1,1,0,1.0,0.0,45,3
168,5112861,1,0,0,0,270000.0,Working,Secondary ,Separated,House ,1,1,0,1.0,0.0,45,3
169,5008998,1,0,0,0,270000.0,Working,Higher education,Married,House ,0,0,1,2.0,0.0,29,2
170,5008999,1,0,0,0,270000.0,Working,Higher education,Married,House ,0,0,1,2.0,0.0,29,2
171,5009000,0,0,0,0,157500.0,Working,Secondary ,Married,House ,0,0,0,2.0,0.0,27,2
172,5009001,0,1,0,0,166500.0,Working,Secondary ,Married,House ,1,1,0,2.0,0.0,51,17
173,5009002,0,1,0,0,166500.0,Working,Secondary ,Married,House ,1,1,0,2.0,0.0,51,17
174,5009005,0,1,0,0,166500.0,Working,Secondary ,Married,House ,1,1,0,2.0,0.0,51,17
175,5009006,0,1,0,0,166500.0,Working,Secondary ,Married,House ,1,1,0,2.0,0.0,51,17
176,5009007,0,1,0,0,166500.0,Working,Secondary ,Married,House ,1,1,0,2.0,0.0,51,17
177,5009008,0,1,0,0,166500.0,Working,Secondary ,Married,House ,1,1,0,2.0,0.0,51,17
178,5009009,0,1,0,0,166500.0,Working,Secondary ,Married,House ,1,1,0,2.0,0.0,51,17
179,5009010,0,1,0,0,166500.0,Working,Secondary ,Married,House ,1,1,0,2.0,0.0,51,17
180,5009012,0,1,0,0,166500.0,Working,Secondary ,Married,House ,1,1,0,2.0,0.0,51,17
181,5009014,0,1,0,0,166500.0,Working,Secondary ,Married,House ,1,1,0,2.0,0.0,51,17
182,5009016,1,1,0,2,216000.0,State servant,Higher education,Married,House ,0,0,1,4.0,0.0,42,8
183,5009018,1,1,0,2,216000.0,State servant,Higher education,Married,House ,0,0,1,4.0,0.0,42,8
184,5009019,1,1,0,2,216000.0,State servant,Higher education,Married,House ,0,0,1,4.0,0.0,42,8
185,5009020,1,1,0,2,216000.0,State servant,Higher education,Married,House ,0,0,1,4.0,0.0,42,8
186,5009022,1,1,0,2,216000.0,State servant,Higher education,Married,House ,0,0,1,4.0,0.0,42,8
187,5009023,1,1,0,2,216000.0,State servant,Higher education,Married,House ,0,0,1,4.0,0.0,42,8
188,5009024,1,1,0,2,216000.0,State servant,Higher education,Married,House ,0,0,1,4.0,0.0,42,8
189,5009025,1,1,0,2,216000.0,State servant,Higher education,Married,House ,0,0,1,4.0,0.0,42,8
190,5009027,1,0,0,0,270000.0,Commercial associate,Secondary ,Married,House ,0,0,1,2.0,0.0,54,29
191,5112862,1,0,0,0,270000.0,Commercial associate,Secondary ,Married,House ,0,0,1,2.0,0.0,54,29
192,5009028,1,0,0,0,225000.0,Commercial associate,Secondary ,Married,House ,0,0,0,2.0,0.0,39,7
193,5009029,1,0,0,0,225000.0,Commercial associate,Secondary ,Married,House ,0,0,0,2.0,0.0,39,7
194,5009031,1,1,0,0,315000.0,Working,Secondary ,Single ,House ,0,0,0,1.0,0.0,28,3
195,5009032,1,1,0,0,315000.0,Working,Secondary ,Single ,House ,0,0,0,1.0,0.0,28,3
196,5009033,1,1,1,0,255150.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,0,0,0,2.0,0.0,51,-1001
197,5009034,1,1,1,0,255150.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,0,0,0,2.0,0.0,51,-1001
198,5009035,1,1,1,0,255150.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,0,0,0,2.0,0.0,51,-1001
199,5009036,1,1,1,0,255150.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,0,0,0,2.0,0.0,51,-1001
200,5009037,1,1,1,0,255150.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,0,0,0,2.0,0.0,51,-1001
201,5009038,1,1,1,0,255150.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,0,0,0,2.0,0.0,51,-1001
202,5009039,1,1,0,2,157500.0,Working,Secondary ,Single ,House ,0,0,0,3.0,0.0,39,1
203,5009040,1,1,0,2,157500.0,Working,Secondary ,Single ,House ,0,0,0,3.0,0.0,39,1
204,5009042,1,1,0,0,148500.0,Working,Higher education,Married,House ,0,0,0,2.0,0.0,48,2
205,5009043,1,1,0,0,148500.0,Working,Higher education,Married,House ,0,0,0,2.0,0.0,48,2
206,5009044,1,1,0,0,148500.0,Working,Higher education,Married,House ,0,0,0,2.0,0.0,48,2
207,5009045,1,1,0,0,148500.0,Working,Higher education,Married,House ,0,0,0,2.0,0.0,48,2
208,5009046,1,1,0,0,148500.0,Working,Higher education,Married,House ,0,0,0,2.0,0.0,48,2
209,5009047,1,1,0,0,148500.0,Working,Higher education,Married,House ,0,0,0,2.0,0.0,48,2
210,5009050,1,1,0,2,202500.0,Working,Higher education,Married,House ,0,0,1,4.0,0.0,30,6
211,5009051,1,1,0,2,202500.0,Working,Higher education,Married,House ,0,0,1,4.0,0.0,30,6
212,5009052,1,1,0,2,202500.0,Working,Higher education,Married,House ,0,0,1,4.0,0.0,30,6
213,5009053,1,1,0,2,202500.0,Working,Higher education,Married,House ,0,0,1,4.0,0.0,30,6
214,5009055,1,1,0,2,202500.0,Working,Higher education,Married,House ,0,0,1,4.0,0.0,30,6
215,5009056,0,1,0,0,202500.0,Working,Secondary ,Single ,House ,1,0,0,1.0,0.0,24,2
216,5009057,0,1,0,0,202500.0,Working,Secondary ,Single ,House ,1,0,0,1.0,0.0,24,2
217,5009058,1,0,0,0,112500.0,Commercial associate,Secondary ,Single ,House ,0,1,1,1.0,0.0,20,2
218,5009060,1,1,0,0,94500.0,Pensioner,Higher education,Married,House ,0,1,0,2.0,0.0,61,-1001
219,5009062,0,0,0,0,315000.0,Working,Secondary ,Civil marriage,House ,0,0,0,2.0,0.0,28,5
220,5009063,0,0,0,0,315000.0,Working,Secondary ,Civil marriage,House ,0,0,0,2.0,0.0,28,5
221,5009064,0,0,0,0,315000.0,Working,Secondary ,Civil marriage,House ,0,0,0,2.0,0.0,28,5
222,5009065,0,0,0,0,315000.0,Working,Secondary ,Civil marriage,House ,0,0,0,2.0,0.0,28,5
223,5009066,0,0,0,0,315000.0,Working,Secondary ,Civil marriage,House ,0,0,0,2.0,0.0,28,5
224,5009067,0,0,0,0,315000.0,Working,Secondary ,Civil marriage,House ,0,0,0,2.0,0.0,28,5
225,5009068,0,0,0,0,315000.0,Working,Secondary ,Civil marriage,House ,0,0,0,2.0,0.0,28,5
226,5009069,0,0,0,0,315000.0,Working,Secondary ,Civil marriage,House ,0,0,0,2.0,0.0,28,5
227,5009070,0,0,0,0,315000.0,Working,Secondary ,Civil marriage,House ,0,0,0,2.0,0.0,28,5
228,5009071,1,0,0,0,270000.0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,0,1,1,2.0,0.0,28,8
229,5009072,1,0,0,0,270000.0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,0,1,1,2.0,0.0,28,8
230,5009074,1,0,0,1,450000.0,State servant,Higher education,Married,House ,0,1,1,3.0,0.0,48,1
231,5009075,1,0,0,1,450000.0,State servant,Higher education,Married,House ,0,1,1,3.0,0.0,48,1
232,5009078,0,1,0,1,180000.0,Working,Secondary ,Married,With parents,0,0,0,3.0,0.0,38,3
233,5009079,1,1,0,0,112500.0,Working,Higher education,Civil marriage,House ,0,0,1,2.0,0.0,27,8
234,5009080,1,1,0,0,112500.0,Working,Higher education,Civil marriage,House ,0,0,1,2.0,0.0,27,8
235,5009081,1,1,0,0,112500.0,Working,Higher education,Civil marriage,House ,0,0,1,2.0,0.0,27,8
236,5009083,0,1,0,0,90000.0,Working,Secondary ,Married,House ,0,0,0,2.0,0.0,56,15
237,5009084,0,1,0,0,90000.0,Working,Secondary ,Married,House ,0,0,0,2.0,0.0,56,15
238,5009088,0,0,1,2,202500.0,Commercial associate,Higher education,Married,House ,0,0,0,4.0,0.0,40,8
239,5009089,0,0,1,2,202500.0,Commercial associate,Higher education,Married,House ,0,0,0,4.0,0.0,40,8
240,5009090,0,0,0,0,247500.0,Working,Secondary ,Married,House ,0,0,0,2.0,0.0,34,11
241,5009092,0,0,0,1,765000.0,Working,Higher education,Married,House ,1,0,0,3.0,0.0,33,3
242,5009094,0,0,0,1,765000.0,Working,Higher education,Married,House ,1,0,0,3.0,0.0,33,3
